Name,Category,Geography,Website,Notes
Arthur M. Blank Family Foundation,Private Family Foundation,"Atlanta, GA",https://blankfoundation.org/,"Mental health, youth, democracy, environment, Westside ATL."
The Coca-Cola Foundation,Corporate Foundation,"Atlanta, GA (global grants)",https://www.coca-colacompany.com/about-us/the-coca-cola-foundation,Community impact; global/local priorities.
Robert W. Woodruff Foundation,Private Foundation,Georgia (statewide),https://woodruff.org/,"Health, education, economic opportunity, community vitality."
The UPS Foundation,Corporate Foundation,"Atlanta, GA (global)",https://about.ups.com/us/en/our-company/esg/ups-foundation.html,"Equity & economic empowerment, planet, volunteering."
The Marcus Foundation,Private Foundation,"Atlanta, GA",https://www.marcus.org/,"Health, autism, Jewish causes, community."
The Zeist Foundation,Private Foundation,"Atlanta, GA",https://zeistfoundation.org/,"Children, youth & families; arts; education."
Ray C. Anderson Foundation,Private Foundation,Atlanta/Georgia,https://www.raycandersonfoundation.org/,Environmental sustainability and circular economy.
Foundation For The Carolinas,Community Foundation,"Charlotte, NC region",https://www.fftc.org/grants,Online Grants Center for many local programs.
The Duke Endowment,Private Foundation,NC & SC,https://www.dukeendowment.org/grants,"Children’s services, health care, higher ed, rural churches."
John M. Belk Endowment,Private Foundation,North Carolina,https://jmbe.org/,Postsecondary access/attainment; invitation-only LOIs.
The Belk Foundation,Private Foundation,Charlotte & NC,https://www.belkfoundation.org/,K-3 achievement; excellent teachers & leaders.
The Leon Levine Foundation,Private Foundation,NC & SC,https://www.leonlevinefoundation.org/,"Education, healthcare, human services, Jewish values."
The Gambrell Foundation,Private Foundation,"Charlotte, NC",https://gambrellfoundation.org/,Experimental ideas to improve lives in Charlotte.
Knight Foundation – Charlotte Program,Private Foundation / Community,"Charlotte, NC",https://knightfoundation.org/community/charlotte/,Historic West End; community engagement and growth.
